ENMKFF_LH,BOMKFF_LH,A Guide to Uḍḍiyāna (Ujjain)[1],༄༅། །ཨོ་རྒྱན་བར་ལམ་ཡིག་སྦེང་ལོར། །
EN7WDG_LH,BO7WDG_LH,Melodious Tambura of Delight[1],༄༅། །འཆི་མེད་ཚེའི་གནས་མཆོག་བྲག་ཕུག་མཱ་ར་ཏི་ཀའི་ངེས་བརྗོད་དབྱངས་ཅན་དགྱེས་པའི་ཏམ་བུ་ར་ཞེས་བྱ་བ་བཞུགས་སོ། །
ENWRDY_LH,BOWRDY_LH,Advice on Nonsectarianism,༄༅། །སྤྲུལ་པའི་གཏེར་སྟོན་ཆེན་མོའི་རྣམ་ཐར་གྱི་ས་བོན་ཞལ་གསུང་མ་དང་། གཏེར་འབྱུང་འགའ་ཞིག་འབེལ་གཏམ་སྣ་ཚོགས་བཅས་ཕྱོགས་བསྡོམས་རྒྱལ་བསྟན་ཉིན་བྱེད་འོད་སྣང་ལས་བཀོལ་དུ་ཕྱུང་བ་ཞེས་བྱ་བ་བཞུགས་སོ། །
ENSS5D_LH,BOSS5D_LH,Four Pieces of Advice,༄༅། །མཆོག་གྱུར་གླིང་པས་སྔགས་པ་ཚོ་ལ་བསྩལ་པའི་ཞལ་གདམས།
ENP2Z4_LH,BOP2Z4_LH,Pithy Advice on Checking One's Progress on the Path,༄༅། །ཆོས་ལམ་དུ་སོང་མ་སོང་ཤེས་པའི་མན་ངག །
ENM2LC_LH,BOM2LC_LH,Radiant Sunlight of the Victors’ Teachings,༄༅། །སྤྲུལ་པའི་གཏེར་སྟོན་ཆེན་མོའི་རྣམ་ཐར་གྱི་ས་བོན་ཞལ་གསུང་མ་དང་། གཏེར་འབྱུང་འགའ་ཞིག་འབེལ་གཏམ་སྣ་ཚོགས་བཅས་ཕྱོགས་བསྡོམས་རྒྱལ་བསྟན་ཉིན་བྱེད་འོད་སྣང་ཞེས་བྱ་བ་བཞུགས་སོ། །
ENW9RB_LH,BOW9RB_LH,The Breeze That Carries the Auspicious Melody,༄༅། །གཏེར་ཆེན་རྣམ་ཐར་ལས་འཕྲོས་པའི་དྲིས་ལན་བཀྲ་ཤིས་དབྱངས་སྙན་བསྐུལ་བའི་དྲི་བཞོན་ཅེས་བྱ་བ་བཞུགས་སོ། །
EN7EHM_LH,BO7EHM_LH,The Wish-Fulfilling Tree: The Life Story of the Master of Uḍḍiyāna,༁ྃ༔ ཟབ་པ་སྐོར་བདུན་ལས༔ ཨོ་རྒྱན་རྣམ་ཐར་དཔག་བསམ་ལྗོན་ཤིང་བཞུགས་སོ༔
ENTAKG_LH,BOTAKG_LH,Exquisite Melody of the Auspicious Tamboura,༄༅། །འཆི་མེད་དཀར་མོ་སྟག་ཚང་གི་བྲག་དང་། གཡུ་མཚོ་གཏན་འཁྱིལ་ནས་ཟབ་གཏེར་སྤྱན་དྲངས་པའི་བཀོད་པ་ཞལ་བྱ་དང་བཅས་པ་མདོར་བསྡུས་བཀྲ་ཤིས་ཏམྦུ་རུའི་དབྱངས་སྙན་བཞུགས་སོ།།
ENHODL_LH,BOHODL_LH,Melody to Delight the Fortunate,༄༅། །སྤྲུལ་པའི་གཏེར་ཆེན་མཆོག་གྱུར་གླིང་པའི་གཏེར་འབྱུང་མདོར་བསྡུས་སྐལ་ལྡན་དགའ་བ་བསྐྱེད་པའི་དབྱངས་སྙན་ཞེས་བྱ་བ་བཞུགས་སོ། །
EN778Q_LH,BO778Q_LH,"The Fulfiller of All Wishes The Ritual Manual from The Wish-Fulfilling Jewel Guru Heart-Practice I. The Preparation A. Taking Refuge B. Commanding the Obstructers C. Visualizing the Protection Circle D. Confessing E. Showering Down Blessings F. Consecrating the Offering Materials G. Naturally Confirming Self-Awareness II. The Main Practice A. The Generation Stage B. Summoning the Wisdom Beings C. Requesting Them to Take a Seat zhipa gü chaktsalwa ni D. Respectfully Paying Homage E. Presenting Offerings F. Rendering Praise G. The Recitation Intent 1. Opening the Recitation Mansion 2. Invoking the Wisdom Beings for the Recitation 3. Visualization for the Recitation 4. Dissolving the recitation mansion: III. The Concluding Rites A. The Gathering Offering 1. Cleansing and purifying: 2. Consecrating 3. Inviting the Field of Gathering 4. Presenting the Gathering Offering 5. Partaking of the Feast Offering 6. Making Aspirations 7. The Residual Offering B. Invoking Their Sacred Bonds C. Proclaiming the Covenant D. Hurling the Weapon Torma ( Zor ) 17 E. Offering to the Tenmas F. Performing the Horse Dance G. The Concluding Rituals 1. With one-pointed longing, request the siddhis: 2. Make offerings, express praise, and confess mistakes: 3. Dissolving the maṇḍala: 4. The dissolution and re-emergence of the completion phase: 5. Making dedication and aspiration prayers, and uttering words of auspiciousness:",༁ྃ༔ བླ་མའི་ཐུགས་སྒྲུབ་ཡིད་བཞིན་ནོར་བུ་ལས༔ ཕྲིན་ལས་དགོས་འདོད་ཀུན་འབྱུང་ཞེས་བྱ་བ་བཞུགས་སོ༔
ENC3EQ_LH,BOC3EQ_LH,To Nourish Faith,༄༅། །རྩ་བླ་ཁྱབ་བདག་སྤྲུལ་སྐུ་ཨོ་རྒྱན་རིན་པོ་ཆེའི་མཛད་རྣམ་མདོར་བསྡུས་དད་པའི་གསོས་འདེབས་ཞེས་བྱ་བ་བཞུགས་སོ། །
ENW13R_LH,BOW13R_LH,Synopsis of the Treasury of Abhidharma,༄༅།།ཆོས་མངོན་པ་མཛོད་ཀྱི་བསྡུས་དོན་བཞུགས་སོ།།
EN0609_LH,BO0609_LH,A Survey of the Fourfold Heart-Essence (Nyingtik Yabzhi) and the Heart-Essence of the Vast Expanse (Longchen Nyingtik),༄༅། །སྙིང་ཐིག་ཡ་བཞི་དང་ཀློང་ཆེན་སྙིང་ཐིག་གི་རྣམ་བཤད།
ENMGO2_LH,BOMGO2_LH,Advice Bestowed by Gatön Dorje Chang,༄༅། །སྒ་སྟོན་རྡོ་རྗེ་འཆང་གི་ཞལ་སྔ་ནས་གནང་བའི་ཞལ་གདམས་བཞུགས་སོ།།
ENXIR5_LH,BOXIR5_LH,Advice to Three-Year Retreatants,༄༅། །ཕ་རན་སེར་ལོ་གསུམ་མཚམས་ལ་བཞུགས་མཁན་རྣམས་ལ་གདམས་པ། །
ENZSEN_LH,BOZSEN_LH,Letter of Advice to Jamyang Gyaltsen,༄༅། །བསླབ་གྲོལ་ཡོན་ཏན་དགེ་བ་འཇམ་དབྱངས་རྒྱལ་མཚན་ལ་ཕུལ་བ།
ENHTRJ_LH,BOHTRJ_LH,The Wondrous Light of Lunar Nectar,༄༅། །ཐེག་པ་མཆོག་གི་རྣལ་འབྱོར་པ་བྱ་བྲལ་ཀུན་དགའ་དཔལ་ལྡན་གྱི་རྣམ་ཐར་ངོ་མཚར་བདུད་རྩིའི་སྣང་བ་བཞུགས།
ENC9HN_LH,BOC9HN_LH,Repository of Every Form of Dharma That Might Be Wished For,༄༅། །རྗེ་བཙུན་བླ་མ་འཇམ་དབྱངས་ཆོས་ཀྱི་བློ་གྲོས་ཀྱི་གསུང་ཐོར་བུའི་སྐོར་སྤར་དུ་བསྒྲུབས་པའི་དཀར་ཆག་ཆོས་ཚུལ་མི་ཟད་འདོད་དགུའི་བང་མཛོད་བཞུགས།
EN8UCY_LH,BO8UCY_LH,A Survey of the Fourfold Heart-Essence (Nyingtik Yabzhi) and the Heart-Essence of the Vast Expanse (Longchen Nyingtik),༄༅། །སྙིང་ཐིག་ཡ་བཞི་དང་ཀློང་ཆེན་སྙིང་ཐིག་གི་རྣམ་བཤད།
EN5X46_LH,BO5X46_LH,The Sage Who Dispels Mind’s Anguish,༄༅། །ཞི་གནས་དང་ལྷག་མཐོང་གི་རྣལ་འབྱོར་སྒྲུབ་པའི་ཚུལ་འཇམ་མགོན་བླ་མའི་ཞལ་ལུང་དྲང་སྲོང་ཡིད་ཀྱི་གདུང་སེལ་བཞུགས།
ENYL5A_LH,BOYL5A_LH,The Quintessence of the Profound Path,༄༅། །ཚིག་བདུན་བླ་མའི་རྣལ་འབྱོར་བྱིན་རླབས་ཆར་འབེབས་ཀྱི་དམིགས་ཁྲིད་ཉུང་བསྡུས་ཟབ་ལམ་བཅུད་དྲིལ་ཞེས་བྱ་བ་བཞུགས་སོ། །
ENVAXK_LH,BOVAXK_LH,A History of Dzongsar Monastery,༄༅། །རྫོང་གསར་དགོན་པའི་ལོ་རྒྱུས་ནི།
ENDEHO_LH,BODEHO_LH,The Sevenfold Authoritative Transmission,༄༅། །བཀའ་བབ་བདུན།
ENOP6F_LH,BOOP6F_LH,Ambrosia for the Mind,༄༅། །བློ་སྦྱོང་དོན་བདུན་མའི་གསོལ་འདེབས་ཡིད་ཀྱི་བདུད་རྩི་ཞེས་བྱ་བ་བཞུགས་སོ། །
ENEG6V_LH,BOEG6V_LH,Tibet’s Eight Great Kagyé Sites Blessed by the Guru,༄༅། །བོད་དུ་གུ་རུའི་བྱིན་གྱིས་བརླབས་པའི་བཀའ་བརྒྱད་ཀྱི་གནས་ཆེན་བརྒྱད།
EN248Y_LH,BO248Y_LH,Bestowing the Glory of Wisdom A Gaṇacakra Feast for Nyingtik Saldrön,༄༅། །ཚོགས་མཆོད་ཡེ་ཤེས་དཔལ་སྟེར་བཞུགས་སོ། །
ENWFAI_LH,BOWFAI_LH,Tsogyal’s Liberational Life in Brief,༄༅། །མཚོ་རྒྱལ་རྣམ་ཐར་ཉུང་བསྡུས་བཞུགས།
EN0V7R_LH,BO0V7R_LH,The Flourishing Splendour of Intelligence,༄༅། །འཇམ་དཔལ་བསྟོད་པ་བློ་གྲོས་དཔལ་བསྐྱེད་བཞུགས།
ENO36D_LH,BOO36D_LH,Advice for a Dying Practitioner,༄༅། །འཆི་ཁ་མའི་མན་ངག་ནི། །
ENZJTT_LH,BOZJTT_LH,"Advice to the Dodrup Incarnation, Jigme Tenpe Nyima",༄༅། །ཀུན་མཁྱེན་མི་ཕམ་རིན་པོ་ཆེས་རྡོ་གྲུབ་སྤྲུལ་སྐུ་འཇིགས་མེད་བསྟན་པའི་ཉི་མར་ཞལ་གདམས་བསླབ་བྱ་གནང་བ་བཞུགས་སོ།།
ENVZ7V_LH,BOVZ7V_LH,On Seeing the Guru as a Buddha,༄༅། །བླ་མ་ལ་སངས་རྒྱས་སུ་བལྟ་ལུགས་བཞུགས།
ENJQQQ_LH,BOJQQQ_LH,On Sleep[1],༄༅། །གཉིད་ཀྱི་སྐྱོན་བསམ་ཚུལ།
ENQ142_LH,BOQ142_LH,On the Ignorance of the Learned[1],༄༅། །ལར་སྟོན་པ་ཐམས་ཅད་མཁྱེན་པའི་བསྟན་པ་སྡེ་སྣོད་རིན་པོ་ཆེ་འདི་གོ་བར་བྱ་བའི་ཆོས་ཡིན། འདྲིས་པར་བྱ་བའི་གཞུང་ཡིན་ཏེ། བྱང་ཆུབ་སེམས་དཔའ་འདི་དག་ལ་བསླབ་ན་ཐམས་ཅད་གཟིགས་པའི་ཡེ་ཤེས་ཀྱི་རྒྱུ་ཚོགས་འཕེལ་བ་དང་མོས་པ་སྣ་ཚོགས་པའི་སེམས་ཅན་གྱི་ཁམས་སྨིན་པའི་ཐབས་ལ་མཁས་པར་འགྱུར་བའི་ཕྱིར་རོ། །འོན་ཀྱང་དེང་སང་གི་སློབ་གཉེར་མཁན་པོ་ཁ་ཅིག་ནི་ཅི་ཙམ་དུ་ཐོས་པ་མང་བ་དེ་ཙམ་དུ་ཁེངས་པས་དྲེགས་ཏེ། ད་ནི་མང་དུ་ཐོས་པ་གཞུང་ལུགས་ཤེས་པ། སྡེ་སྣོད་ལ་མཁས་པའོ་ཞེས་རྟོག་ཅིང་། གང་ཟག་གཞན་ཐོས་པ་མ་བསགས་པ་དག་མཐོང་བ་ནའང་འདི་དག་ནི་བླུན་པ་རྟུལ་བ་བུས་པ་གླེན་པ་མི་མཁས་པ་ཡིན་ནོ་ཞེས་ཁྱད་དུ་གསོད་ལ། མཁས་པ་གཞན་དག་གི་གཞུང་ལུགས་ཤིག་བཀླག་ཀྱང་དམ་པའི་ཆོས་ལ་གུས་ཤིང་དོན་དུ་གཉེར་བ་མེད་བཞིན་དུ་དང་པོ་གླེགས་ཐག་དཀྲོལ་དུས་ནས་འདིའི་ནང་ག་འདྲ་ཞིག་ཡོད། ཅི་འདྲ་ཞིག་བྲིས་འདུག་ཨང་སྙམ་ནས་མཚར་ལྟས་ཀྱི་འདུ་ཤེས་བཞག་སྟེ། རིག་པ་རྩྭ་མགོ་ལ་བཀྲམ། མཛུབ་རྩེ་གདོང་ཉག་ལ་བཙུགས། མགོ་ལ་སྒྲི་ལང་སྟེ། ཆེ་གེ་མོ་ཞིག་ཟེར་ན་ཚད་མའི་གཞུང་དང་མི་འགྲིགས། ག་གེ་མོ་ཞིག་འདོད་ན་མངོན་པ་དང་མི་མཐུན། ཅིག་ལེ་ཞིག་ཁས་བླང་ན་རིགས་པ་འདི་འདྲ་ཞིག་གིས་གནོད་འདུག་ཅེས་དཔྱད་དཔྱད་ནས་དཔེ་ཆ་དེ་བལྟས་ཟིན་པ་ན་བསྡུ་རྒྱུ་བདག་རྒྱུ་འདོད་རྒྱུ་འཇོག་རྒྱུ་ཐམས་ཅད་ཅི་ཡིན་འདི་ཡིན་མེད་པ་ཞིག་ཏུ་སོང་། ད་ག་རེ་ང་རང་གི་རང་ལུགས་འདི་འདྲ་ཞིག་བཞག་ན་གཞན་ཞིག་དང་བརྩད་ན་དེས་འདི་ཟེར་ཡོང་། དེ་ལ་འདི་ཟེར་དགོས། དེས་ལན་འདི་འདེབས་ཡོང་། དེ་ལ་ཅི་དྲག་བསམ་ནས་བསྡད་དུས་ཉིན་བློ་མི་བདེ། མཚན་གཉིད་མི་ཡོང་། གལ་ཏེ་གཉིད་ཞིག་བྱུང་ཡང་རྨི་ལམ་ཚོར་དེ་འདྲ་དེ་དག་ཁོ་ན་རྨིས་རྨིས་ནས་ཐོ་རངས་སད་འོང་དུས་ཀྱང་ཡིད་མི་བདེ་སིང་སིང་འགྲོ། ལམ་ཟབ་མོ་བྱང་ཆུབ་ཀྱི་སེམས་དང་སྙིང་རྗེའི་སྒོམ་རིམ་ལྟ་བུ་རེ་འདུག་ན་དེ་གོ་སླ་ཨའུ་ཙི་སྙམ་ནས་སྐྱུར། རྟོག་གེའི་གཞུང་ཕྲན་རེ་མཐོང་ན། འོ་འོ་དེ་ཀ་ལ་གཅིག་བལྟ་དགོས་ཟེར་ནས་ཁ་ཕྱེས། དེ་མ་ཐག་ཤེས་པ་ཧུར་ཕྱུང་སྟེ། ག་རེ་དེ་དོན་ལྡོག་རེད་དམ། གཞི་ལྡོག་ཞིག་རེད། དགག་པ་ཞིག་རེད་དམ། སྒྲུབ་པ་ཞིག་རེད་དམ། འདི་ཁྱབ་པ་གྲུབ་བམ། འགལ་བ་འདུའམ་ཞེས་དྲན་རྟོག་གི་སྤུ་རིས་བྲིས་བྲིས་ནས་ཕྱི་དྲོ་ཙ་ན་སྙིང་ཕྱོད་ཕྱོད་གློ་བ་ཏིག་ཏིག་པོར་འགྲོ། སངས་རྒྱས་ཀྱི་ལྡོག་པ་དང་སེམས་ཅན་གྱི་རྫས་སྤྱི་ལ་གཏད་འདུག་ས་ནས་དད་པ་དང་ངེས་འབྱུང་གོ་བློ་སྣ་ཐམས་ཅད་ཇེ་ཆུང་ཇེ་འགྲིབ་ཏུ་སོང་། འཆི་ཙ་ན་ཐོས་ཚད་ཚིག་རོ། དཔྱད་ཚད་སྟོང་འདང་། བལྟས་ཚད་ཆུད་ཟོས་སུ་གྲོན་པའི་རྫུན་རྐུབ་དེ་བུད། གཟུགས་ཤེས་ལྡན་མིན་འདུ་བྱེད་བརྩིས་ཤིང་དཔྱད་ཚད་པོ་ཐམས་ཅད་མུན་ནག་ནང་དུ་རྡོ་འཕང་བ་ལྟར་གྱུར་ཏེ་རྗེན་ཅེར་རེ་ཕེབས་ཡོང་། ལེགས་པར་བསམ་ན་རིགས་ལམ་འདིས་ལོག་རྟོག་བཟློག་དགོས་པར་འདུག །དེ་བཟློག་ནས་རང་ཉིད་ཡང་དག་པའི་ལམ་ལ་འཇུག་དགོས་པར་འདུག །དེར་ཞུགས་ནས་རྣམ་པར་གྲོལ་བའི་ཡེ་ཤེས་མངོན་དུ་བྱེད་དགོས་པར་འདུག །ཆོས་མང་དུ་ཐོས་པ་ཞེས་བྱ་བ་མང་པོ་ཞིག་ཉན་པ་ཙམ་ལ་མི་འཇུག །ཐོས་པ་གང་ཞིག་ལ་བརྟེན་ནས་ཁམས་གསུམ་ལ་སྐྱོ་བར་འགྱུར་བ་དེ་ཉིད་མང་དུ་ཐོས་པ་ཡིན་ཞེས་ཆོས་མངོན་པ་ལས་བཤད་པས། ཚིག་གི་འཛིན་མཚམས་ཕྲན་ཕྲིན་རེ་ཤེས་པས་མཁས་པར་སྨྲ་བ་འདིའང་བརྟག་དགོས། སྒྱུ་མ་མཁན་བཟང་པོས་ཞུས་པའི་མདོར། ཆོས་ཐོས་ནས་རང་གི་ཉམས་སུ་ལེན་པ་དང་། གཞན་ལ་ལེགས་པར་བཤད་པས་ཕན་འདོགས་པ་གཉིས་ཐོས་པ་མང་བའི་སྙིང་པོ་ཡིན་ཞེས་བསྟན་པས། དོན་འབྲས་འདི་དག་མི་ལེན་བཞིན་དུ་ཚུར་མཐོང་གི་རིགས་ལམ་གྱོང་པོ་འགའ་ཞིག་གིས་མཁས་པའི་རྣམ་ཐར་སྐྱོང་བར་རློམ་པ་འདིའང་དཔྱད་དགོས། ངེད་ཀྱི་སློབ་གཉེར་འདི་སྲིན་བུ་པདྨའི་རྗེས་ཤུལ་གྱི་ཆུ་ཙམ་ལས་མེད་ཀྱང་རྣམ་ཐར་འདི་ཚོ་ལ་ཉམས་མྱོང་རེ་ཡོད་པས་གཞན་འགའ་ལའང་འདྲའམ་སྙམ་ནས་སྤྲང་སྨྱོན་འཇིགས་མེད་པས་སྨྱོ་གཏམ་པའོ།།
ENYZ70_LH,BOYZ70_LH,Retreat Advice,༄༅། །མཚམས་སྒྲུབ་ཀྱི་ཞལ་གདམས་བཞུགས།
ENYQXM_LH,BOYQXM_LH,Three Ways of Bringing Sickness onto the Path,༄༅། །ན་ཚ་ལམ་དུ་ཁྱེར་ཚུལ་གསུམ།
EN4XQN_LH,BO4XQN_LH,Transforming Suffering and Happiness into Enlightenment,༄༅། །སྐྱིད་སྡུག་ལམ་འཁྱེར་བཞུགས་སོ། །
ENJ4F0_LH,BOJ4F0_LH,Benedictory Verses[1],༄༅།སྤར་བྱང་སྨོན་ཚིག
