TMALPI_LH,Magnetizing Prayer,༄༅། །དབང་སྡུད་གསོལ་འདེབས།
TMGRJ8_LH,The Rishi's Maledictory Incantation 1 An Invocation of Wisdom Mind and Sacred Pledges for Reversing the Disturbances and Agitations of Dark Times in the Form of an Aspiration Prayer,༄༅། །བསྐལ་ངན་དུས་ཀྱི་གཡོ་འཁྲུག་ཟློག་པའི་ཐུགས་དམ་རྒྱུད་བསྐུལ་གསོལ་འདེབས་སྨོན་ལམ་དུ་བྱ་བ་དྲང་སྲོང་དམོད་སྔགས་ཞེས་བྱ་བ་བཞུགས་སོ།།
TM2OWU_LH,The Excellent Path of Supreme Great Bliss A Prayer for Calling the Guru from Afar,༄༅། །བླ་མ་རྒྱང་འབོད་གསོལ་འདེབས་བདེ་ཆེན་མཆོག་གི་ལམ་བཟང་ཞེས་བྱ་བ་བཞུགས་སོ།།
TMKQ9F_LH,A Profound and Concise Guru Yoga,༄༅། །བླ་མའི་རྣལ་འབྱོར་ཉུང་ཟབ་བཞུགས་སོ། །
TMBB8V_LH,Prayer for the Long Life of Namkhai Norbu Rinpoche,༄༅། །ནམ་མཁའི་ནོར་བུ་རིན་པོ་ཆེའི་ཞབས་བརྟན་གསོལ་འདེབས།
TMU2IB_LH,Prayer for the Long Life of Soktsé Rinpoche,༄༅། །སོག་རྩེ་རིན་པོ་ཆེའི་ཞབས་བརྟན་གསོལ་འདེབས་ནི།
TME7TF_LH,"Essence of All the Buddhas of Past, Present and Future",༄༅། །དུས་གསུམ་སངས་རྒྱས་ཐམས་ཅད་སོགས།
TM10EW_LH,Concise Daily Practice of the Wrathful Guru Takhyung Barwa,༄༅། །བླ་མ་དྲག་པོ་རྟ་ཁྱུང་འབར་བའི་རྒྱུན་ཁྱེར་སྙིང་པོར་དྲིལ་བ་བཞུགས།།
TM7J2S_LH,"The Ritual for the Bodhisattva Vow Arranged According to the Tradition of Patrul Rinpoche Recalling the Qualities of the Three Jewels 1 Prayer to the Bodhicitta and the Bodhisattvas The Consecration of the Environment Consecrating the Offerings The Offering Cloud Dhāraṇī Inviting the Buddhas and their Entourages as a Field of Merit Inviting the Buddhas and their Retinues to Remain Offering the Buddhas their Places I. The Preparation The Seven Branches for Gathering the Accumulations 1. Prostration The Prayer in One Verse: The Prayer in Four Verses: The Great Praise of the Twelve Acts of the Buddha 4 The Short Praise of the Buddha’s Deeds 6 The Praise of the Twelve Acts of the Buddha Offering Homage and Prostration 7 i. Prostration 2. Making Offerings The Thirty-Seven Point Maṇḍala Offering Short Maṇḍala Offering The Three-Kāya Maṇḍala Offering Nirmāṇakāya Maṇḍala Offering Saṃbhogakāya Maṇḍala Offering Dharmakāya Maṇḍala Offering Aspirations ii. Offerings (continued) 11 Offering Our Bodies 3. Confession of Harm iii. Confession 4. The Remaining Four Branches 13 iv. Rejoicing v. Imploring the Buddhas to Turn the Wheel of Dharma vi. Requesting the Buddhas Not to Enter Nirvāṇa vii. Dedication Training the Mind in the Four Immeasurables Giving Away of the Three Bases of Clinging The Preliminary Prayer for Requesting the Attention of the Buddhas, Bodhisattvas and Teachers II. The Main Part Taking the Vows of Bodhicitta in Aspiration and Action Combined The Series of Aspiration Prayers III. Conclusion Recitation of the Dhāraṇī of Pure Discipline Aspiration Prayers Afterword",༄༅། །བྱང་སྡོམ་བླང་ཆོག་དཔལ་སྤྲུལ་གསུང་རྒྱུན་ལྟར་བཀོད་པ་བཞུགས་སོ། །
TMML7W_LH,Dhāraṇī of Goddess Parṇaśavarī,༄༅། །ལྷ་མོ་ལོ་མ་གྱོན་མའི་གཟུངས་བཞུགས། །
TMJEI8_LH,Short Maṇḍala Offering,༄༅། །མཎྜལ་ཚོམ་བུ་བདུན་པ་བཞུགས།
TMQDCE_LH,The Thirty-Seven Point Maṇḍala Offering,༄༅། །མཎྜལ་སོ་བདུན་མ་བཞུགས་སོ། །
TMQBPA_LH,Töpa Gyatsoma Offering Prayer,༄༅། །ཐོས་པ་རྒྱ་མཚོ་མ་བཞུགས།
TM4IQU_LH,Purification of Negativity through Amitābha 1. Prostration 2. Offering 3. Confession 4. Rejoicing 5. Imploring the Buddhas to Turn the Wheel of Dharma 6. Requesting the Buddhas not to Enter Nirvāṇa 7. Dedication,༄༅། །འོད་དཔག་མེད་ཀྱི་སྒོ་ནས་སྡིག་སྦྱོང་བཞུགས་སོ།  །
TMZF8H_LH,The Method of Accomplishment of Ārya Avalokiteśvara The Practice of Great Compassion & Mahāmudrā in Union,༄༅། །ཐུགས་རྗེ་ཆེན་པོ་དང་ཕྱག་རྒྱ་ཆེན་པོ་ཟུང་འཇུག་ཏུ་ཉམས་སུ་ལེན་ཚུལ་བཞུགས།
TMK1Q3_LH,Prayer for the Long Life of Chögyam Trungpa Rinpoche 1,༄༅། །དྲུང་པ་མཆོག་སྤྲུལ་རིན་པོ་ཆེའི་ཞབས་བརྟན།
TM8R7R_LH,Waves in A Sea of Devotion A Prayer to the Garland of Zurmang Trungpa Rinpoche Incarnations,༄༅། །ཟུར་མང་དྲུང་རིན་པོ་ཆེའི་སྐྱེས་ཕྲེང་གསོལ་འདེབས་མོས་གུས་རྒྱ་མཚོའི་རླབས་ཕྲེང་ཞེས་བྱ་བ་བཞུགས་སོ།    །
TM6H4I_LH,"The New Glorious Bestower of Immortality 1 A Long-Life Practice and Empowerment that Unites the Oral, Treasure and Visionary Teachings 1.1. Setting up a Shrine 1.2. The Approach: The Self-Visualization 1.3. The Accomplishment of the Practice of the Front Visualisation 2. The Long-Life Blessing for the Disciples 3. The Daily Practice",༄༅། །བཀའ་གཏེར་དག་སྣང་ཟུང་འཇུག་གི་ཚེ་སྒྲུབ་ཚེ་དབང་དང་བཅས་པ་ཉེ་བརྒྱུད་འཆི་མེད་དཔལ་སྟེར་གསར་པ་བཞུགས་སོ། །
TM0FL3_LH,"The Sādhana and Empowerment for the Extremely Close Lineage of the Long-Life Practice that Unites the Oral, Treasure and Visionary Teachings",༄༅། །བཀའ་གཏེར་དག་སྣང་ཟུང་དུ་འབྲེལ་བའི་ཚེ་སྒྲུབ་ཤིན་ཏུ་ཉེ་བརྒྱུད་ཀྱི་སྒྲུབ་ཐབས་དབང་ཆོག་དང་བཅས་པ་བཞུགས་སོ། །
TMON8K_LH,A Prayer of Aspiration for the Copper-Coloured Mountain of Glory,༄༅། །ཟངས་མདོག་དཔལ་རིའི་སྨོན་ལམ་བཞུགས་སོ།།
TMTS6M_LH,The Aspiration of the Vajradhātu Maṇḍala,༄༅། །སྨོན་ལམ་ཕྱོགས་བཅུ་དུས་བཞིའི་མ།
TMIGXZ_LH,Threefold Aspiration for Rebirth in Zangdok Palri,༄༅། །ཟངས་མདོག་དཔལ་རི་རྒྱུ་ལམ་འབྲས་བུ་གསུམ་གྱི་སྨོན་ལམ། །
TMH447_LH,"Concise Offering of the Body From the Root Text of the Heart Accomplishment of the Guru Tukdrup, The Essential Manual of Oral Instructions (Shaldam Nyingjang) Actual Offering of the Body",༄༅། །ཐུགས་སྒྲུབ་ཞལ་གདམས་སྙིང་བྱང་ལས། ལུས་ཀྱི་མཆོད་སྦྱིན་བཞུགས།
TM8E79_LH,The Confession of Downfalls from the Great Compassionate One’s Lotus Uṣṇīṣa 1,༄༅། །ཐུགས་རྗེ་ཆེན་པོ་པདྨ་གཙུག་གཏོར་ལས་བྱུང་བའི་ལྟུང་བཤགས།
TMZA7M_LH,"The Inexpressible, Ultimate Confession",༄༅། །བརྗོད་མེད་དོན་གྱི་བཤགས་པ་ནི།
TM9JUI_LH,The Lament of Rudra,༄༅། །རུ་ཏྲའི་སྨྲེ་བཤགས་བཞུགས་སོ།
TMAP7Z_LH,A Concise and Essential Offering Ritual for the Guardians of the Doctrine from The Wish-Fulfilling Jewel Guru Heart-Practice,༄༅། །བླ་མའི་ཐུགས་སྒྲུབ་ཡིད་བཞིན་ནོར་བུ་ལས། གཏེར་སྲུང་མཆོད་པའི་ཕྲིན་ལས་མདོར་བསྡུས་སྙིང་པོར་དྲིལ་བ་བཞུགས་སོ། །
TMNS4M_LH,"Pearl Droplets of Blessings: A Prayer to the Guru Who Embodies All Extracted from A Shower of Precious Blessings: A Garland of Prayers to Guru Rinpoche, Embodiment of All Refuge Objects, and to the Three Roots and Lineage Masters",༄༅། །ཀུན་འདུས་གུ་རུ་རྗེ་ལ་གསོལ་འདེབས་བྱིན་རླབས་མུ་ཏིག་ཟེགས་མ། །
TM2LRM_LH,The Prayer Which Removes All Obstacles from the Path (Barché Lamsel) Gyalwé Dungdzin 1 Mawé Sengé Kyéchok Tsul Zang Dükyi Shéchen Dzam Ling Gyen Chok Pemajungné Khyépar Pakpé Rigdzin Dzütrul Thuchen Dorjé Drakpo Tsal Kalden Drendzé Rakṣa Tötreng Guru Dechen Gyalpo,༃ གསོལ་འདེབས་བར་ཆད་ལམ་སེལ་བཞུགས༔
TM4MGC_LH,The Prayer in Six Vajra Lines,༄༅། །རྡོ་རྗེའི་ཚིག་རྐང་དྲུག་གི་གསོལ་འདེབས།
TMMLEG_LH,"The Prayer to Guru Rinpoche that Spontaneously Fulfils All Wishes (Sampa Lhundrupma) From The Guru’s Heart Practice: The Wish-Fulfilling Jewel Wish-Fulfilling Jewel, Guru of Great Bliss Guru Chemchok Guru Padma, King of Healing Guru Mighty King of Wealth Gods Guru Powerful King of Yidams Guru King Who Fulfils the Hopes of the Practitioners Guru Sovereign of the Warrior Kiṃkaras Guru Victorious Master over the Four Elements Guru Mighty Exorcizer of Evil Spirits Guru Vajra Armour Guru Purifier of the Pain of Rebirth Guru Conqueror over the Delusion of the Bardo Guru Dispeller of the Suffering of Dying Guru Refuge of the Six Classes of Beings",༁ྃ༔ ༔བླ་མའི་ཐུགས་སྒྲུབ་ཡིད་བཞིན་ནོར་བུ་ལས༔ གསོལ་འདེབས་བསམ་པ་ལྷུན་གྲུབ་བཞུགས་སོ༔
TMECCA_LH,The Testament Prayer to Orgyen Rinpoche,༁ྃ༔ ཨོ་རྒྱན་རིན་པོ་ཆེའི་ཞལ་ཆེམས་གསོལ་འདེབས༔
TM4PN8_LH,A Concise Guru Yoga,༄༅། །བླ་མའི་རྣལ་འབྱོར་མདོར་བསྡུས་བཞུགས།
TM1ZAY_LH,Treasury of Supreme Blessings: A Guru Yoga Visualization of the Support for Accumulation Seven-Branch Offering Prayer,༄༅། །བླ་མའི་རྣལ་འབྱོར་བྱིན་རླབས་མཆོག་གཏེར།
TMAQJ9_LH,Wellspring of Bounty for the Fortunate A Guru Yoga of the Three Family Lords Refuge and Bodhicitta Visualization Seven Branches Prayer Receiving Empowerment,༄༅། །རིགས་གསུམ་བླ་མའི་རྣལ་འབྱོར་སྐལ་བཟང་འདོད་འཇོ་བཞུགས་སོ། །
TMYVTD_LH,Youthfulness Gained in Vajra-like Immortality Verses of Truth for the Long Life of the Perfect Masters,༄༅། །ཡུལ་དམ་པ་རྣམས་ལ་བརྟན་བཞུགས་བདེན་ཚིགས་སུ་བསྩལ་བ་འཆི་མེད་རྡོ་རྗེར་གྲུབ་པའི་ལང་ཚོ་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMVHJP_LH,"The Summoning of Longevity from Chimé Pakmé Nyingtik, 'The Heart-Essence of the Sublime Lady of Immortality'",༄༅། །ཚེ་འགུགས།
TMNLV8_LH,White and Red Sur Offerings That Are Very Easy to Apply White Sur Red Sur Elaborate Aspiration,༄༅། །གསུར་མཆོད་དཀར་དམར་ཤིན་ཏུ་ཁྱེར་བདེ་བཞུགས་སོ། །
TMBRWF_LH,The Excellent Bilva Tree of Auspiciousness Praise and Prayer to Terchen Chokgyur Lingpa,༄༅། །གཏེར་ཆེན་མཆོག་གྱུར་གླིང་པ་ལ་བསྟོད་ཅིང་གསོལ་བ་འདེབས་པ་བཀྲ་ཤིས་བིལ་ཝའི་ལྗོན་བཟང་ཞེས་བྱ་བ་བཞུགས་སོ། །
TM9WT5_LH,"A Prayer to the Vidyādhara Gurus from A Shower of Precious Blessings: A Garland of Supplications to Guru Rinpoche, Embodiment of All Refuge Objects, and to the Three Roots and Lineage Masters",༄༅། །རིག་འཛིན་བླ་མའི་གསོལ་འདེབས་ནི།
TM18US_LH,"Prayer to Khyentse, Kongtrul and Chokling",༄༅། །མཁྱེན་ཀོང་མཆོག་གསུམ་གྱི་གསོལ་འདེབས་བཞུགས།
TMVQJE_LH,"Prayer to Khyentse, Kongtrul and Chokling 1",༄༅། །མཁྱེན་ཀོང་མཆོག་གསུམ་གྱི་གསོལ་འདེབས།
TMV86H_LH,The Melody of the Auspicious Spiralled Conch A Prayer Based on the Liberation Life of the Great Emanated Tertön Chokgyur Lingpa,༄༅། །སྤྲུལ་པའི་གཏེར་ཆེན་མཆོག་གྱུར་གླིང་པའི་རྣམ་ཐར་གསོལ་འདེབས་བཀྲ་ཤིས་འཁྱིལ་བའི་དབྱངས་སྙན་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMNAR9_LH,Three-Name Prayer to Chokgyur Lingpa 1,༄༅། །མཆོག་གླིང་མཚན་གསུམ་ལྡན་གྱི་གསོལ་འདེབས།
TML25I_LH,Concise Daily Practice of Vajrasattva Refuge & Bodhicitta Main Part Mantra Recitation Dedication,༄༅། །རྡོར་སེམས་རྒྱུན་ཁྱེར་མདོར་བསྡུས་བཞུགས། །
TMZKO5_LH,"Liberation Through Training in the Realm of Amitābha, Boundless Light 1",༄༅། །སྣང་བ་མཐའ་ཡས་ཀྱི་ཞིང་སྦྱོང་སྒོམ་གྲོལ།
TMX7U2_LH,"The Chariot Bound for Sukhāvatī, the Blissful Realm A Liturgy for Cultivating Buddha Amitābha’s Pure Realm I. The Preliminaries A. Preparations to Be Made Before Beginning the Ritual B. The Preparatory Rituals 1. Taking Refuge 2. Generating Bodhicitta 3. A Supplementary Consecration of the Place and Articles II. The Main Part A. Visualizing the Field of Accumulation Extending the Invitation Bathing the Buddhas Offering Them a Bath Drying Their Bodies Offering Clothes and Ornaments Requesting Them to Be Seated B. Gathering the Accumulations 1. Offering the Seven Branches a. Paying Homage b. Presenting Offerings 3. Performing the Remaining Branches of Confessing Misdeeds and the Rest Confession Rejoicing Imploring the Buddhas to Turn the Wheel of Dharma Requesting the Buddhas Not to Enter Nirvāṇa Dedication 2. Invoking Their Wisdom Hearts Through Recitation a. Performing the Recitation Activity The Recitation Visualization 3. Training in the Visualizations for Cultivating the Pure Realm C. Making Aspirations III. The Concluding Rituals A. Making Thanksgiving Offerings 1. Prostration 2. Offering 3. Confession 4. Rejoicing 5. Imploring the Buddhas to Turn the Wheel of Dharma 6. Requesting the Buddhas Not to Enter Nirvāṇa 7. Dedication B. The Dissolution Practice C. Dedication, Aspirations, and Prayers for Auspiciousness",༄༅། །བཅོམ་ལྡན་འདས་མགོན་པོ་འོད་དཔག་ཏུ་མེད་པའི་སངས་རྒྱས་ཀྱི་ཞིང་ཡོངས་སུ་སྦྱོང་བའི་ཆོ་ག་བདེ་བ་ཅན་དུ་བགྲོད་པའི་ཤིང་རྟ།
TMQQCO_LH,"The Essence of Cintāmaṇi A Daily Practice of the Great Compassionate One, Wish-fulfilling Wheel I. The Preliminaries II. The Main Part III. The Conclusion",༄༅། །ཐུགས་རྗེ་ཆེན་པོ་ཡིད་བཞིན་འཁོར་ལོའི་རྒྱུན་ཁྱེར་ཙིནྟཱ་མ་ཎིའི་སྙིང་པོ་ཞེས་བྱ་བ་བཞུགས་སོ། །
TMPMMX_LH,The Secret Practice of Dorjé Draktsal According to the Trio of the Guru’s Heart Practices from the Rituals of Profound Interdependence I. The Preliminary Stages II. The Stages of the Main Part III. The Concluding Stages,༁ྃ༔  ༔ཟབ་མོ་རྟེན་འབྲེལ་ཆོ་ག་ལས༔ བླ་མའི་ཐུགས་སྒྲུབ་སྐོར་གསུམ་གྱི༔ གསང་སྒྲུབ་རྡོ་རྗེ་དྲག་རྩལ་བཞུགས༔
TM2FGY_LH,The Single-Page Practice of the Guru of Great Bliss,༄༅། །གུ་རུ་བདེ་བ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཤོག་གཅིག་མ་བཞུགས་སོ། །
TMDAQF_LH,The Concise Cleansing (Sang) Offering From The Guru’s Heart Practice: Dispeller of All Obstacles (Lamé Tukdrup Barché Kunsel),༄༅། །ཐུགས་སྒྲུབ་བར་ཆད་ཀུན་སེལ་གྱི་བསང་མཆོད་མདོར་བསྡུས།
TMU9ZQ_LH,The Smoke Offering for Sengchen Norbu Dradül,༄༅། །སེང་ཆེན་ནོར་བུ་དགྲ་འདུལ་གྱི་བསང་མཆོད།
TM4UI6_LH,The Twenty-Eight Commitments,༄༅། །དམ་བཅའ་ཉེར་བརྒྱད་པ་བཞུགས།
TMCAEF_LH,Vajrakīla Tsok Prayer from 'The Essential Drop of Enlightened Activity: A Tsok Offering for the Single-Mudrā Form of Vajrakumāra' 1,༄༅། །གསང་ཐིག་སྐོར་གསུམ། རྡོ་རྗེ་གཞོན་ནུ་ཕྱག་རྒྱ་གཅིག་པའི་ཚོགས་མཆོད་ཕྲིན་ལས་བཅུད་ཐིག་ལས།
TMG8WW_LH,Cloud-Banks of the Two Accumulations A Feast Offering Including The Six Vajra Lines Prayer to Be Practiced with Any Guru Sādhana,༄༅། །གུ་རུའི་བླ་སྒྲུབ་སྤྱིའི་ཚོགས་མཆོད་རྡོ་རྗེའི་ཚིག་རྐང་དང་འབྲེལ་བ་ཚོགས་གཉིས་སྤྲིན་ཕུང་བཞུགས།
TMK1CJ_LH,Prayer for the Long Life of Chökyi Nyima Rinpoche,༄༅། །ཆོས་ཀྱི་ཉི་མ་རིན་པོ་ཆེའི་ཞབས་བརྟན་གསོལ་འདེབས།
TMJGVX_LH,Prayer for the Long Life of Chökyi Nyima Rinpoche,༄༅། །ཆོས་ཀྱི་ཉི་མ་རིན་པོ་ཆེའི་ཞབས་བརྟན་གསོལ་འདེབས།
TMBM0A_LH,A Concise Supplication to the Most Noble Tārā,༄༅། །རྗེ་བཙུན་སྒྲོལ་མའི་གསོལ་འདེབས་བསྡུས་པ་བཞུགས།
TMTAGA_LH,The Moonlight of Auspiciousness Prayer for the Swift Return of the Supreme Tulku,༄༅། །མཆོག་སྤྲུལ་མྱུར་འབྱོན་གསོལ་འདེབས་བཀྲ་ཤིས་ཟླ་སྣང་ཞེས་བྱ་བ་བཞུགས་སོ།    །
TMTXBJ_LH,Aspiration for the Long Life of Jampa Kunga Tenpé Nyima,༄༅། །རྗེ་བཙུན་བྱམས་པ་ཀུན་དགའ་བསྟན་པའི་ཉི་མའི་༧ཞབས་བརྟན་སྨོན་ཚིག
TMC9CO_LH,Bestowing the Splendour of Immortality A Prayer for the Long Life of Jetsün Kushok Chimey Luding Rinpoche,༄༅། །ཞབས་བརྟན་སྨོན་ཚིག་འཆི་མེད་དཔལ་སྟེར་ཞེས་བྱ་བ་བཞུགས་སོ༎
TMWZAV_LH,Prayer for the Long Life of Dezhung Rinpoche 1,༄༅། །སྡེ་གཞུང་མཆོག་སྤྲུལ་གྱི་ཞབས་བརྟན་གསོལ་འདེབས།
TMTDDZ_LH,Prayer for the Long Life of Kyabje Kalu Rinpoche,༄༅། །སྐྱབས་རྗེ་ཀ་ལུ་རིན་པོ་ཆེའི་ཞབས་བརྟན་གསོལ་འདེབས།
TMPZ0Z_LH,Light Offering Prayer,༄༅། །མར་མེའི་སྨོན་ལམ།
TMUISG_LH,In Praise of Dezhung Choktrul Rinpoche,༄༅། །སྡེ་གཞུང་མཆོག་སྤྲུལ་རིན་པོ་ཆེའི་བསྟོད་པ།
TM6IZV_LH,Prayer to Lekpa Rinpoche,༄༅། །ལེགས་པ་རིན་པོ་ཆེའི་གསོལ་འདེབས།
TMT70Y_LH,Prayer of Transference 1,༄༅། །གསོལ་འདེབས་ཚུལ་དུ་འཕོ་བ།
TMOSXE_LH,Heart Advice in Four Lines,༄༅། །ཞལ་གདམས་མདོར་བསྡུས་ནི།
TMD3ZJ_LH,A Prayer for the Spread of Kyabje Dilgo Khyentse Rinpoche’s Termas,༄༅། །གཏེར་ཆེན་དིལ་མཁྱེན་རྡོ་རྗེ་འཆང་གི་ཟབ་གཏེར་དར་རྒྱས་སྨོན་ལམ།
TM7NAF_LH,The Blissful Path to the Ocean of Bodhicitta A Brief Prayer of Aspiration for Mind Training,༄༅།  །བློ་སྦྱོང་སྨོན་ལམ་དོན་བསྡུས་བྱང་སེམས་རྒྱ་མཚོའི་བདེ་ལམ་བཞུགས།།
TMIZQ1_LH,"The Vidyādharas' Words of Truth An Aspiration Connected with the Stages of the Path of the Three Roots, from the Heart-Essence of the Vast Expanse",༄༅། །རྫོགས་པ་ཆེན་པོ་ཀློང་ཆེན་སྙིང་ཐིག་གི་རྩ་བ་གསུམ་གྱི་ལམ་རིམ་དང་འབྲེལ་བའི་སྨོན་ལམ་རིག་པ་འཛིན་པའི་བདེན་ཚིག
TM4C7V_LH,"Wisdom’s Melody An Aspiration to Realize Madhyamaka, Mahāmudrā, and Mahā Ati",༄༅། །དབུ་ཕྱག་རྫོགས་གསུམ་རྟོགས་པའི་སྨོན་ལམ་ཡེ་ཤེས་དབྱངས་སྙན་བཞུགས།
TMF6JQ_LH,Calling the Guru From Afar,༄༅། །བླ་མ་རྒྱང་འབོད།
TM7J6G_LH,Calling the Guru from Afar,༄༅། །བླ་མ་རྒྱང་འབོད།
TM3CNT_LH,Nectar Shower of Blessings A Song of Yearning Devotion Recalling the Everpresent Gurus,༄༅། །ཁྱབ་བདག་བླ་མ་རྗེས་སུ་དྲན་པའི་གདུང་དབྱངས་བྱིན་རླབས་བདུད་རྩིའི་ཆར་འབེབས་བཞུགས། །
TM2JWZ_LH,"Concise Offering of the Body From the Root Text of the Heart Accomplishment of the Guru Tukdrup, The Essential Manual of Oral Instructions (Shaldam Nyingjang) Actual Offering of the Body",༄༅། །ཐུགས་སྒྲུབ་ཞལ་གདམས་སྙིང་བྱང་ལས། ལུས་ཀྱི་མཆོད་སྦྱིན་བཞུགས།
